EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,AMMONI,AMMONI_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,DELO18,DELO18_FLAG_W,BARIUM,BARIUM_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,O/OO,,UM/KG,
  32H120030721,   CAA,   101,  3, 264527,      3,2,20030726,1115, 72.7477, -67.0022, 2365,   2021.7,  -0.3460,  34.4930,  34.4959,2,   -999.0,9,  -999.00,9,     0.00,9,  -999.00,9,  -999.00,9,     -999,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9
  32H120030721,   CAA,   101,  3, 264525,      1,2,20030726,1115, 72.7477, -67.0022, 2365,   2021.8,  -0.3460,  34.4925,  34.5008,2,   -999.0,9,  -999.00,9,     0.00,9,  -999.00,9,  -999.00,9,     -999,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9
  32H120030721,   CAA,   102,  4, 264563,     24,2,20030726,1459, 72.7528, -68.0057, 2278,     16.3,   1.0460,  32.6865,  32.6688,2,   -999.0,9,     2.20,2,     0.09,2,     0.02,2,     0.67,2,     0.02,2, -999.000,9, -999.000,9, -999.000,9,   2043.4,2,   2250.7,3,    -1.71,2,    59.90,2
  32H120030721,   CAA,   102,  4, 264562,     23,2,20030726,1459, 72.7528, -68.0057, 2278,     26.5,  -0.8405,  32.9560,  32.9435,2,    437.3,2,     1.94,2,     0.09,2,     0.02,2,     0.69,2,     0.02,2, -999.000,9, -999.000,9, -999.000,9,   2055.0,2,   2270.6,3,    -1.60,2,    63.40,2
  32H120030721,   CAA,   102,  4, 264561,     22,2,20030726,1459, 72.7528, -68.0057, 2278,     41.2,  -1.3680,  33.1575,  33.1869,2,    367.2,2,    10.11,2,     4.69,2,     0.22,2,     0.97,2,     0.32,2, -999.000,9, -999.000,9, -999.000,9,   2128.2,2,   2280.7,3,    -1.58,2,    60.70,2
  32H120030721,   CAA,   102,  4, 264560,     21,2,20030726,1459, 72.7528, -68.0057, 2278,     81.7,  -1.6235,  33.5390,  33.5760,2,   -999.0,9,    12.94,2,     9.31,2,     0.12,2,     1.07,2,     0.13,2, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,    -1.21,2,    56.70,2
  32H120030721,   CAA,   102,  4, 264559,     20,2,20030726,1459, 72.7528, -68.0057, 2278,    105.5,  -1.6045,  33.6255,  33.7239,2,   -999.0,9,    13.57,2,    10.54,2,     0.05,2,     1.10,2,     0.06,2, -999.000,9, -999.000,9, -999.000,9,   2164.6,2,   2283.2,3,    -1.03,2,    55.20,2
  32H120030721,   CAA,   102,  4, 264558,     19,2,20030726,1459, 72.7528, -68.0057, 2278,    154.9,  -1.5490,  33.7420,  33.8391,2,    301.2,2,    14.93,2,    11.75,2,     0.01,2,     1.14,2,     0.03,2, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,    -0.84,2,    54.70,2
  32H120030721,   CAA,   102,  4, 264557,     18,2,20030726,1459, 72.7528, -68.0057, 2278,    229.8,   0.3110,  34.0505,  34.1367,2,   -999.0,9,    19.54,2,    15.42,2,     0.01,2,     1.26,2,     0.04,2, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,    -0.48,2,    54.50,2
  32H120030721,   CAA,   102,  4, 264556,     17,2,20030726,1459, 72.7528, -68.0057, 2278,    305.0,   1.1225,  34.2750,  34.2824,2,   -999.0,9,    21.20,2,    16.16,2,     0.01,2,     1.28,2,     0.04,2, -999.000,9, -999.000,9, -999.000,9,   2187.4,2,   2281.3,2,    -0.29,2,    51.00,2
  32H120030721,   CAA,   102,  4, 264555,     16,2,20030726,1459, 72.7528, -68.0057, 2278,    355.9,   0.9495,  34.3255,  34.3217,2,    234.4,2,    21.82,2,    15.83,2,     0.01,2,     1.27,2,     0.04,2, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,    -0.26,2,    52.50,2
  32H120030721,   CAA,   102,  4, 264554,     15,2,20030726,1459, 72.7528, -68.0057, 2278,    405.2,   1.0200,  34.3765,  34.3762,2,   -999.0,9,    22.29,2,    15.93,2,     0.01,2,     1.26,2,     0.03,2, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,    -0.22,2,    52.00,2
  32H120030721,   CAA,   102,  4, 264553,     14,2,20030726,1459, 72.7528, -68.0057, 2278,    505.2,   1.4640,  34.4840,  34.4933,2,    234.9,7,    25.43,2,    17.11,2,     0.00,2,     1.31,2,     0.03,2, -999.000,9, -999.000,9, -999.000,9,   2193.1,2,   2298.7,3,    -0.14,2,    53.70,2
